411,280,5
3712,2818,4
5847,1159,5
4239,3122,4
325,3306,3
3756,1769,4
1879,1236,4
4374,1947,4
2654,1960,1
530,2114,3
4623,2615,3
4114,842,5
4536,1880,4
1450,2115,5
3463,494,5
128,2768,3
1841,2858,4
351,1137,5
928,1200,1
3204,49,5
649,2701,5
2009,1873,2
5810,2586,2
4702,2551,4
801,1272,4
4903,2609,5
5394,23,2
1682,2296,4
1987,3417,4
2435,380,2
1954,23,4
542,202,4
3689,77,2
2145,1126,4
425,1731,4
1792,2767,1
5465,1650,5
2339,426,4
1500,1023,4
3203,2580,5
217,902,3
1316,49,4
1925,3536,5
2019,1270,5
3561,435,2
4089,1204,2
1296,1842,5
1245,1271,3
3442,1173,3
4411,346,4
387,1079,5
1393,965,5
4883,855,4
530,3642,4
2750,1561,4
3000,927,4
1149,421,2
3704,2676,4
4479,2279,2
156,1612,3
4674,465,4
2989,354,4
5613,171,4
1902,240,3
2620,1818,2
1134,1115,5
5875,308,4
2053,2884,3
888,556,2
4578,2020,4
2512,1197,4
3204,2891,5
5770,1144,4
5843,2950,5
1382,3284,4
244,526,5
4260,0,5
4956,1832,3
1284,283,2
2560,1587,3
2451,1015,4
1961,287,4
4925,215,4
1381,846,4
1793,185,2
1086,903,4
2334,3562,4
5208,1928,4
3405,578,5
5288,1815,2
5787,2501,5
3148,2952,4
4807,1470,3
5366,1137,4
1684,1184,4
1037,3302,1
5989,1107,3
2856,1015,3
1446,2224,4
3204,1105,4
575,2505,3
351,1607,2
2840,1477,2
1007,3183,4
4354,2456,5
1927,2676,5
263,3282,3
3928,1196,1
3674,1002,4
1016,1026,3
753,2328,3
2202,735,5
5549,1153,5
165,3159,4
3734,578,4
1180,2096,2
5674,1206,4
5785,1814,3
3903,287,4
5340,1908,2
3964,166,3
1521,2368,5
3228,1925,5
1911,701,1
5366,1352,1
136,1444,4
2824,3205,5
542,2735,3
2117,2694,5
1879,1796,3
2985,1480,5
4027,2738,1
2102,1152,5
306,1155,5
4255,1155,4
4042,3117,3
4910,2420,3
4542,2061,3
5884,2125,4
3730,180,1
1271,347,4
3907,1152,4
2528,1126,3
313,3125,4
3388,1361,3
2756,1150,4
2903,512,5
5965,188,4
2888,579,3
4386,1061,4
5554,369,1
3915,528,4
5626,722,2
4607,1561,3
4256,540,3
5540,1101,4
385,858,4
3724,1577,2
154,395,2
4178,420,4
3822,2912,4
4836,2217,3
5525,2149,4
1245,580,5
2825,3425,2
2023,98,5
3539,1461,5
2252,419,3
5937,402,3
4657,1847,2
1353,3032,5
2059,334,3
4298,46,4
57,1024,4
5959,2306,5
3496,2552,5
1057,1020,3
5442,1188,4
983,1974,2
423,1023,4
4496,3206,3
5811,2675,4
827,1725,3
5318,1548,4
3393,2326,3
4311,3642,4
3474,1130,4
1364,3309,2
1384,3674,4
54,309,5
4662,2279,3
1126,756,3
2792,2711,3
4052,96,3
4800,1939,3
505,3041,3
4731,2968,5
138,1893,3
5647,1708,3
1100,2272,3
